บริการ,บริการรายการย่อย,Measure Names,หมวดสิทธิ,Measure Values
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,02_กระบอกดูดสุญญากาศ(MVA),จำนวนเงินจ่าย,รวมทุกสิทธิ,10905700
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,02_กระบอกดูดสุญญากาศ(MVA),จำนวนหน่วย,รวมทุกสิทธิ,81
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,02_กระบอกดูดสุญญากาศ(MVA),จำนวนครั้ง,รวมทุกสิทธิ,3637
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,02_กระบอกดูดสุญญากาศ(MVA),จำนวนคน,รวมทุกสิทธิ,3621
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนเงินจ่าย,ประกันสังคม,9000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนหน่วย,ประกันสังคม,2
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนครั้ง,ประกันสังคม,3
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนคน,ประกันสังคม,3
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนเงินจ่าย,บัตรทอง,6000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนหน่วย,บัตรทอง,2
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนครั้ง,บัตรทอง,2
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนคน,บัตรทอง,2
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนเงินจ่าย,ข้าราชการ,3000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนหน่วย,ข้าราชการ,1
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนครั้ง,ข้าราชการ,1
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนคน,ข้าราชการ,1
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนเงินจ่าย,รวมทุกสิทธิ,18000
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนหน่วย,รวมทุกสิทธิ,3
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนครั้ง,รวมทุกสิทธิ,6
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,03_การใช้เครืองดูดสูญญาการไฟฟ้า(EVA),จำนวนคน,รวมทุกสิทธิ,6
10.บริการยุติการตั้งครรภ์ที่ไม่ปลอดภัย,04_การยุติการตั้งครรภ์,จำนวนเงินจ่าย,อื่นๆ,36000
